date,time,site,url,ip,region,status,bytes
2026-05-01,00:10:55,video.example.com,/movie,10.13.0.81,Zhejiang,200,23213
2026-05-01,00:53:06,news.example.com,/sports,10.10.0.66,Beijing,200,19351
2026-05-01,01:30:53,travel.example.com,/index,10.11.0.36,Shanghai,200,4045
2026-05-01,01:41:14,video.example.com,/vip,10.14.0.33,Jiangsu,304,22251
2026-05-01,01:45:49,shop.example.com,/detail,10.18.0.59,Shandong,200,1264
2026-05-01,02:54:36,study.example.com,/exam,10.20.0.65,Chongqing,200,4821
2026-05-01,03:13:59,study.example.com,/course,10.11.0.2,Shanghai,200,2850
2026-05-01,03:39:26,video.example.com,/index,10.11.0.69,Shanghai,200,4945
2026-05-01,05:52:11,shop.example.com,/pay,10.17.0.46,Fujian,200,22241
2026-05-01,06:01:53,shop.example.com,/order,10.15.0.61,Sichuan,200,12303
2026-05-01,06:14:23,video.example.com,/live,10.18.0.46,Shandong,200,1419
2026-05-01,06:28:26,video.example.com,/vip,10.17.0.23,Fujian,200,20605
2026-05-01,06:52:45,study.example.com,/forum,10.20.0.69,Chongqing,200,6538
2026-05-01,07:02:17,video.example.com,/series,10.15.0.78,Sichuan,200,5271
2026-05-01,07:03:19,video.example.com,/shorts,10.20.0.56,Chongqing,200,21383
2026-05-01,07:15:38,travel.example.com,/index,10.15.0.16,Sichuan,200,11217
2026-05-01,07:25:26,study.example.com,/exam,10.14.0.65,Jiangsu,200,23330
2026-05-01,07:45:27,news.example.com,/sports,10.19.0.39,Henan,200,3167
2026-05-01,07:45:50,video.example.com,/shorts,10.12.0.2,Guangdong,200,9826
2026-05-01,07:47:00,travel.example.com,/order,10.14.0.11,Jiangsu,200,20498
2026-05-01,08:00:54,shop.example.com,/detail,10.12.0.60,Guangdong,200,17344
2026-05-01,08:00:56,news.example.com,/tech,10.12.0.23,Guangdong,200,13895
2026-05-01,08:04:30,study.example.com,/resource,10.16.0.59,Hubei,200,23823
2026-05-01,08:06:35,news.example.com,/sports,10.21.0.48,Tianjin,200,7155
2026-05-01,08:06:43,video.example.com,/series,10.19.0.9,Henan,200,4605
2026-05-01,08:14:08,news.example.com,/tech,10.20.0.66,Chongqing,304,23937
2026-05-01,08:16:15,shop.example.com,/search,10.21.0.30,Tianjin,200,20323
2026-05-01,08:18:25,study.example.com,/profile,10.13.0.31,Zhejiang,200,15831
2026-05-01,08:32:04,shop.example.com,/index,10.20.0.22,Chongqing,200,22122
2026-05-01,08:32:36,video.example.com,/movie,10.12.0.33,Guangdong,200,2677
2026-05-01,08:33:27,travel.example.com,/flight,10.18.0.68,Shandong,404,12000
2026-05-01,08:54:00,shop.example.com,/index,10.13.0.81,Zhejiang,200,6915
2026-05-01,08:55:07,shop.example.com,/pay,10.21.0.27,Tianjin,404,9188
2026-05-01,08:55:19,shop.example.com,/search,10.16.0.39,Hubei,200,12996
2026-05-01,08:56:49,video.example.com,/series,10.21.0.11,Tianjin,200,5483
2026-05-01,09:00:12,shop.example.com,/order,10.17.0.11,Fujian,200,17430
2026-05-01,09:01:53,game.example.com,/community,10.10.0.61,Beijing,200,9473
2026-05-01,09:02:38,video.example.com,/live,10.14.0.53,Jiangsu,200,9585
2026-05-01,09:07:32,shop.example.com,/order,10.20.0.28,Chongqing,200,7167
2026-05-01,09:10:22,study.example.com,/index,10.11.0.47,Shanghai,304,21209
2026-05-01,09:11:40,shop.example.com,/order,10.18.0.65,Shandong,200,5954
2026-05-01,09:14:04,video.example.com,/shorts,10.12.0.61,Guangdong,200,4513
2026-05-01,09:15:43,shop.example.com,/cart,10.11.0.7,Shanghai,200,11858
2026-05-01,09:27:19,travel.example.com,/guide,10.12.0.10,Guangdong,200,15961
2026-05-01,09:32:42,news.example.com,/finance,10.21.0.29,Tianjin,200,10496
2026-05-01,09:35:56,game.example.com,/download,10.19.0.56,Henan,200,12370
2026-05-01,09:40:17,video.example.com,/index,10.13.0.9,Zhejiang,200,22077
2026-05-01,09:40:33,shop.example.com,/index,10.13.0.36,Zhejiang,200,14915
2026-05-01,09:46:40,video.example.com,/shorts,10.10.0.25,Beijing,200,4654
2026-05-01,09:48:24,shop.example.com,/cart,10.12.0.11,Guangdong,200,20290
2026-05-01,09:50:11,video.example.com,/live,10.21.0.16,Tianjin,200,1743
2026-05-01,09:52:02,travel.example.com,/hotel,10.18.0.8,Shandong,200,8040
2026-05-01,09:52:07,travel.example.com,/flight,10.12.0.59,Guangdong,200,6744
2026-05-01,09:55:22,video.example.com,/index,10.12.0.57,Guangdong,404,20022
2026-05-01,09:56:23,video.example.com,/vip,10.12.0.43,Guangdong,200,13094
2026-05-01,09:57:28,video.example.com,/shorts,10.21.0.68,Tianjin,200,16369
2026-05-01,09:59:20,video.example.com,/shorts,10.15.0.26,Sichuan,200,9740
2026-05-01,10:00:25,study.example.com,/forum,10.10.0.57,Beijing,200,16556
2026-05-01,10:00:31,news.example.com,/finance,10.11.0.41,Shanghai,200,19790
2026-05-01,10:02:37,travel.example.com,/order,10.12.0.81,Guangdong,200,19526
2026-05-01,10:08:42,study.example.com,/forum,10.11.0.58,Shanghai,200,2639
2026-05-01,10:10:17,news.example.com,/index,10.12.0.11,Guangdong,200,7783
2026-05-01,10:10:54,news.example.com,/index,10.10.0.16,Beijing,200,20229
2026-05-01,10:11:37,video.example.com,/series,10.17.0.80,Fujian,200,20825
2026-05-01,10:11:44,video.example.com,/shorts,10.16.0.64,Hubei,200,4233
2026-05-01,10:15:38,study.example.com,/resource,10.17.0.64,Fujian,200,2755
2026-05-01,10:17:53,shop.example.com,/order,10.13.0.26,Zhejiang,200,10894
2026-05-01,10:19:12,shop.example.com,/index,10.18.0.63,Shandong,304,8747
2026-05-01,10:21:09,game.example.com,/store,10.11.0.53,Shanghai,200,1932
2026-05-01,10:21:45,shop.example.com,/order,10.21.0.6,Tianjin,200,4500
2026-05-01,10:23:41,news.example.com,/world,10.13.0.65,Zhejiang,200,15716
2026-05-01,10:24:09,news.example.com,/video,10.12.0.62,Guangdong,200,13896
2026-05-01,10:28:02,study.example.com,/exam,10.19.0.17,Henan,200,21620
2026-05-01,10:30:55,study.example.com,/forum,10.21.0.40,Tianjin,200,18202
