date,time,site,url,ip,region,status,bytes
2026-05-01,00:31:38,study.example.com,/forum,10.12.0.7,Guangdong,200,2464
2026-05-01,00:33:17,shop.example.com,/search,10.19.0.2,Henan,200,20804
2026-05-01,00:45:58,news.example.com,/index,10.21.0.11,Tianjin,200,18338
2026-05-01,01:09:15,video.example.com,/index,10.15.0.66,Sichuan,200,15267
2026-05-01,01:20:19,study.example.com,/profile,10.18.0.6,Shandong,200,4525
2026-05-01,01:22:18,video.example.com,/live,10.20.0.75,Chongqing,200,16044
2026-05-01,01:42:15,study.example.com,/course,10.11.0.68,Shanghai,200,21523
2026-05-01,01:53:17,news.example.com,/index,10.18.0.11,Shandong,200,8586
2026-05-01,02:44:05,shop.example.com,/search,10.14.0.27,Jiangsu,200,18062
2026-05-01,03:26:45,news.example.com,/world,10.18.0.66,Shandong,200,12287
2026-05-01,03:46:40,video.example.com,/vip,10.15.0.9,Sichuan,404,16277
2026-05-01,05:20:29,video.example.com,/live,10.17.0.79,Fujian,404,11547
2026-05-01,05:23:25,video.example.com,/shorts,10.14.0.40,Jiangsu,200,8972
2026-05-01,06:13:48,news.example.com,/sports,10.20.0.42,Chongqing,200,18094
2026-05-01,06:19:19,travel.example.com,/flight,10.19.0.20,Henan,200,17684
2026-05-01,06:32:00,shop.example.com,/order,10.16.0.23,Hubei,200,11950
2026-05-01,06:32:32,shop.example.com,/index,10.10.0.5,Beijing,200,7941
2026-05-01,06:40:54,video.example.com,/live,10.19.0.63,Henan,200,6983
2026-05-01,06:41:58,video.example.com,/series,10.14.0.29,Jiangsu,200,2642
2026-05-01,06:43:22,video.example.com,/vip,10.12.0.56,Guangdong,200,8200
2026-05-01,06:51:57,shop.example.com,/pay,10.12.0.8,Guangdong,200,23661
2026-05-01,06:53:51,travel.example.com,/ticket,10.19.0.29,Henan,200,13576
2026-05-01,06:55:46,game.example.com,/store,10.19.0.11,Henan,304,14607
2026-05-01,07:05:00,news.example.com,/index,10.18.0.35,Shandong,200,13816
2026-05-01,07:16:24,news.example.com,/tech,10.19.0.7,Henan,200,18462
2026-05-01,07:31:16,news.example.com,/index,10.20.0.34,Chongqing,200,22782
2026-05-01,07:39:43,study.example.com,/forum,10.19.0.12,Henan,200,9531
2026-05-01,07:41:07,study.example.com,/course,10.12.0.73,Guangdong,200,8299
2026-05-01,08:09:44,news.example.com,/index,10.21.0.70,Tianjin,304,13567
2026-05-01,08:09:50,video.example.com,/series,10.14.0.63,Jiangsu,200,8319
2026-05-01,08:11:39,game.example.com,/download,10.18.0.6,Shandong,200,2032
2026-05-01,08:20:10,game.example.com,/download,10.12.0.68,Guangdong,200,22363
2026-05-01,08:27:18,shop.example.com,/pay,10.12.0.50,Guangdong,200,23301
2026-05-01,08:37:41,game.example.com,/community,10.15.0.19,Sichuan,200,6357
2026-05-01,08:43:16,study.example.com,/resource,10.21.0.37,Tianjin,200,5104
2026-05-01,08:44:25,news.example.com,/finance,10.11.0.2,Shanghai,200,23459
2026-05-01,08:47:48,news.example.com,/video,10.20.0.5,Chongqing,200,6696
2026-05-01,08:52:24,video.example.com,/vip,10.10.0.8,Beijing,304,14631
2026-05-01,08:53:23,video.example.com,/live,10.14.0.61,Jiangsu,200,22667
2026-05-01,08:58:56,news.example.com,/index,10.19.0.17,Henan,200,6240
2026-05-01,09:02:20,video.example.com,/shorts,10.13.0.57,Zhejiang,200,16068
2026-05-01,09:03:44,shop.example.com,/pay,10.10.0.67,Beijing,404,15487
2026-05-01,09:06:19,video.example.com,/series,10.13.0.37,Zhejiang,200,14269
2026-05-01,09:09:15,game.example.com,/store,10.13.0.45,Zhejiang,200,9273
2026-05-01,09:13:13,shop.example.com,/cart,10.17.0.45,Fujian,200,8210
2026-05-01,09:16:03,shop.example.com,/pay,10.20.0.2,Chongqing,200,9385
2026-05-01,09:16:13,shop.example.com,/cart,10.13.0.30,Zhejiang,200,3015
2026-05-01,09:17:06,news.example.com,/world,10.11.0.10,Shanghai,200,15502
2026-05-01,09:19:56,travel.example.com,/flight,10.21.0.49,Tianjin,200,9982
2026-05-01,09:30:18,shop.example.com,/detail,10.10.0.18,Beijing,200,4724
2026-05-01,09:34:05,video.example.com,/live,10.15.0.13,Sichuan,200,6943
2026-05-01,09:38:17,game.example.com,/download,10.21.0.63,Tianjin,200,20782
2026-05-01,09:42:10,news.example.com,/sports,10.10.0.3,Beijing,200,23523
2026-05-01,09:54:06,game.example.com,/rank,10.20.0.46,Chongqing,200,16005
2026-05-01,09:56:43,study.example.com,/index,10.15.0.17,Sichuan,200,4701
2026-05-01,10:00:05,video.example.com,/shorts,10.19.0.20,Henan,200,4260
2026-05-01,10:02:12,news.example.com,/video,10.11.0.52,Shanghai,200,4794
2026-05-01,10:06:45,shop.example.com,/search,10.20.0.65,Chongqing,200,19122
2026-05-01,10:10:24,news.example.com,/video,10.18.0.60,Shandong,200,18415
2026-05-01,10:11:29,news.example.com,/finance,10.11.0.16,Shanghai,200,19060
2026-05-01,10:13:53,game.example.com,/community,10.14.0.75,Jiangsu,200,11675
2026-05-01,10:19:09,video.example.com,/movie,10.19.0.29,Henan,200,20487
2026-05-01,10:19:12,video.example.com,/series,10.19.0.58,Henan,200,17514
2026-05-01,10:23:49,travel.example.com,/flight,10.14.0.31,Jiangsu,200,10353
2026-05-01,10:27:27,study.example.com,/course,10.19.0.70,Henan,200,18786
2026-05-01,10:28:05,news.example.com,/index,10.17.0.36,Fujian,200,10410
2026-05-01,10:30:35,travel.example.com,/flight,10.19.0.53,Henan,200,16104
