date,time,site,url,ip,region,status,bytes
2026-05-01,07:44:52,travel.example.com,/guide,10.21.0.23,Tianjin,200,21174
2026-05-01,07:59:07,shop.example.com,/detail,10.18.0.22,Shandong,200,7399
2026-05-01,08:23:45,video.example.com,/live,10.13.0.54,Zhejiang,200,3250
2026-05-01,08:31:31,video.example.com,/series,10.20.0.21,Chongqing,304,4910
2026-05-01,08:37:28,video.example.com,/shorts,10.17.0.17,Fujian,200,15508
2026-05-01,08:45:59,shop.example.com,/order,10.15.0.65,Sichuan,200,21738
2026-05-01,08:51:01,news.example.com,/video,10.17.0.74,Fujian,500,5303
2026-05-01,08:52:33,news.example.com,/finance,10.11.0.75,Shanghai,200,844
2026-05-01,09:03:34,video.example.com,/movie,10.15.0.38,Sichuan,200,1300
2026-05-01,09:04:46,study.example.com,/forum,10.10.0.3,Beijing,200,23175
2026-05-01,09:05:43,video.example.com,/movie,10.17.0.59,Fujian,200,8117
2026-05-01,09:20:40,shop.example.com,/search,10.13.0.20,Zhejiang,200,21778
2026-05-01,09:21:09,study.example.com,/exam,10.12.0.47,Guangdong,200,5073
2026-05-01,09:36:37,game.example.com,/download,10.19.0.44,Henan,500,9867
2026-05-01,09:41:24,news.example.com,/index,10.12.0.11,Guangdong,200,1509
2026-05-01,09:48:25,news.example.com,/world,10.20.0.63,Chongqing,200,4473
2026-05-01,10:27:24,video.example.com,/vip,10.15.0.16,Sichuan,304,9505
2026-05-01,11:11:50,news.example.com,/video,10.17.0.48,Fujian,200,22360
2026-05-01,11:12:32,video.example.com,/live,10.21.0.58,Tianjin,200,22085
2026-05-01,11:12:57,game.example.com,/index,10.11.0.10,Shanghai,200,21836
2026-05-01,11:54:54,news.example.com,/sports,10.17.0.41,Fujian,200,22910
2026-05-01,11:57:05,travel.example.com,/ticket,10.14.0.46,Jiangsu,200,2915
2026-05-01,12:00:24,shop.example.com,/order,10.14.0.68,Jiangsu,200,10615
2026-05-01,12:12:30,video.example.com,/vip,10.11.0.57,Shanghai,200,3173
2026-05-01,12:15:14,video.example.com,/movie,10.17.0.58,Fujian,200,10191
2026-05-01,12:30:34,video.example.com,/shorts,10.19.0.71,Henan,304,16259
2026-05-01,12:31:45,news.example.com,/world,10.17.0.58,Fujian,200,20532
2026-05-01,12:34:58,shop.example.com,/index,10.17.0.36,Fujian,200,1489
2026-05-01,12:39:18,game.example.com,/store,10.12.0.76,Guangdong,200,15919
2026-05-01,13:01:22,shop.example.com,/order,10.18.0.75,Shandong,200,10790
2026-05-01,13:10:42,shop.example.com,/index,10.13.0.52,Zhejiang,200,17823
2026-05-01,13:15:00,video.example.com,/index,10.17.0.72,Fujian,200,8631
2026-05-01,13:23:17,study.example.com,/course,10.15.0.62,Sichuan,200,1359
2026-05-01,13:36:15,study.example.com,/forum,10.15.0.75,Sichuan,200,6909
2026-05-01,13:47:47,news.example.com,/video,10.16.0.11,Hubei,200,11176
2026-05-01,13:47:58,news.example.com,/index,10.20.0.4,Chongqing,200,19836
2026-05-01,14:14:26,video.example.com,/shorts,10.12.0.78,Guangdong,200,12026
2026-05-01,14:22:40,shop.example.com,/index,10.11.0.45,Shanghai,200,16895
2026-05-01,14:30:49,video.example.com,/series,10.14.0.65,Jiangsu,200,15529
2026-05-01,14:46:21,news.example.com,/sports,10.12.0.25,Guangdong,200,13687
2026-05-01,14:53:00,news.example.com,/index,10.18.0.11,Shandong,200,10650
2026-05-01,15:17:13,travel.example.com,/hotel,10.14.0.77,Jiangsu,200,19361
2026-05-01,15:20:54,video.example.com,/series,10.21.0.55,Tianjin,200,5555
2026-05-01,15:33:24,game.example.com,/download,10.11.0.48,Shanghai,200,1689
2026-05-01,15:36:48,study.example.com,/resource,10.16.0.68,Hubei,200,6833
2026-05-01,15:46:02,study.example.com,/forum,10.13.0.57,Zhejiang,304,21798
2026-05-01,15:48:11,study.example.com,/index,10.16.0.21,Hubei,500,23869
2026-05-01,15:49:09,shop.example.com,/detail,10.14.0.70,Jiangsu,200,21012
2026-05-01,16:00:45,news.example.com,/tech,10.11.0.61,Shanghai,200,23273
2026-05-01,16:56:08,shop.example.com,/cart,10.16.0.27,Hubei,200,9925
2026-05-01,17:19:03,shop.example.com,/cart,10.21.0.67,Tianjin,500,12982
2026-05-01,17:20:15,study.example.com,/course,10.12.0.13,Guangdong,200,6489
2026-05-01,17:34:35,shop.example.com,/search,10.21.0.73,Tianjin,200,16946
2026-05-01,18:03:21,study.example.com,/profile,10.14.0.63,Jiangsu,200,1302
2026-05-01,18:13:41,news.example.com,/tech,10.18.0.60,Shandong,304,13150
2026-05-01,18:14:59,video.example.com,/movie,10.19.0.72,Henan,200,17252
2026-05-01,18:30:25,game.example.com,/news,10.15.0.48,Sichuan,200,7204
2026-05-01,18:31:56,game.example.com,/index,10.18.0.68,Shandong,200,9632
2026-05-01,18:33:40,study.example.com,/course,10.21.0.31,Tianjin,200,8653
2026-05-01,18:41:03,travel.example.com,/hotel,10.15.0.35,Sichuan,200,1209
2026-05-01,18:54:05,study.example.com,/forum,10.11.0.58,Shanghai,200,10339
2026-05-01,18:59:32,news.example.com,/index,10.10.0.69,Beijing,500,5446
2026-05-01,19:04:11,news.example.com,/index,10.12.0.46,Guangdong,200,10708
2026-05-01,19:05:47,video.example.com,/live,10.21.0.76,Tianjin,200,4362
2026-05-01,19:20:23,video.example.com,/shorts,10.17.0.52,Fujian,200,11996
2026-05-01,19:37:34,travel.example.com,/flight,10.11.0.55,Shanghai,200,7596
2026-05-01,19:38:00,news.example.com,/world,10.14.0.46,Jiangsu,200,4971
2026-05-01,19:38:37,news.example.com,/tech,10.17.0.37,Fujian,200,11961
2026-05-01,19:42:30,video.example.com,/live,10.19.0.8,Henan,200,18574
2026-05-01,19:51:08,study.example.com,/profile,10.14.0.20,Jiangsu,200,13454
2026-05-01,19:52:33,shop.example.com,/cart,10.19.0.62,Henan,200,22400
2026-05-01,19:59:07,video.example.com,/index,10.10.0.50,Beijing,200,9720
2026-05-01,20:09:39,video.example.com,/shorts,10.17.0.56,Fujian,200,15080
2026-05-01,20:13:05,news.example.com,/index,10.12.0.48,Guangdong,200,2347
2026-05-01,20:21:42,news.example.com,/world,10.13.0.67,Zhejiang,200,6454
2026-05-01,20:21:50,study.example.com,/profile,10.14.0.27,Jiangsu,200,959
2026-05-01,20:23:16,shop.example.com,/detail,10.14.0.61,Jiangsu,200,21665
2026-05-01,20:23:47,news.example.com,/tech,10.16.0.17,Hubei,200,19632
2026-05-01,20:28:55,news.example.com,/index,10.18.0.68,Shandong,200,14645
2026-05-01,20:36:39,news.example.com,/finance,10.10.0.70,Beijing,200,22632
2026-05-01,20:41:02,news.example.com,/tech,10.12.0.28,Guangdong,200,17486
2026-05-01,20:41:21,study.example.com,/exam,10.15.0.34,Sichuan,200,12730
2026-05-01,20:43:17,shop.example.com,/detail,10.21.0.15,Tianjin,200,16859
2026-05-01,20:45:11,shop.example.com,/index,10.18.0.6,Shandong,200,6110
2026-05-01,20:59:05,news.example.com,/finance,10.18.0.17,Shandong,200,10655
2026-05-01,21:04:12,shop.example.com,/order,10.17.0.47,Fujian,304,21476
2026-05-01,21:05:05,study.example.com,/course,10.16.0.76,Hubei,200,6863
2026-05-01,21:11:12,shop.example.com,/index,10.11.0.22,Shanghai,200,23374
2026-05-01,21:11:32,news.example.com,/tech,10.20.0.12,Chongqing,200,23337
2026-05-01,21:11:47,study.example.com,/index,10.20.0.67,Chongqing,304,16453
2026-05-01,21:13:26,shop.example.com,/pay,10.18.0.9,Shandong,200,23210
2026-05-01,21:14:49,shop.example.com,/detail,10.13.0.51,Zhejiang,200,7084
2026-05-01,21:33:48,news.example.com,/sports,10.13.0.78,Zhejiang,200,9922
2026-05-01,21:40:10,video.example.com,/movie,10.12.0.77,Guangdong,200,8733
2026-05-01,21:40:22,video.example.com,/shorts,10.11.0.37,Shanghai,304,7968
2026-05-01,21:46:01,news.example.com,/sports,10.13.0.22,Zhejiang,200,9499
2026-05-01,21:56:19,shop.example.com,/detail,10.16.0.14,Hubei,200,4315
2026-05-01,22:00:56,game.example.com,/store,10.17.0.79,Fujian,200,1745
2026-05-01,22:16:53,news.example.com,/tech,10.21.0.24,Tianjin,200,17407
2026-05-01,22:21:44,game.example.com,/index,10.11.0.61,Shanghai,200,6888
2026-05-01,22:42:34,game.example.com,/store,10.18.0.11,Shandong,200,22098
